station,timestamp:utc,timestamp:local,timestamp:localstring,district,locationName,nearbyPlace,longitude,latitude,elevation,direction,county,route,routeSuffix,postmilePrefix,alignment,milepost,inService,essReferenceHeight,essPressureHeight,essWindSensorHeight,essNumTemperatureSensors,numEssPavementSensors,numEssSubSurfaceSensors,alert,alertAppliesTo,qc_pass
id,sec,sec,time,none,none,none,deg,deg,ft,none,none,none,none,none,none,mi,none,ft,ft,ft,none,none,none,none,none,none
string,epoch time,epoch time,time string,int,text,text,float,float,float,text,text,text,text,text,text,float,bool,float,float,float,int,int,int,bool,text,bool
D09-26,1746470700,1746441900,2025/05/05-10:45 -0800,9,US-6 : Matthieu Hill Summit,Benton,-118.4554,37.755,5209,South,Mono,US-6,,,L,29.381,false,,,,1,Not Reported,Not Reported,,,
D10-04,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-152 : San Luis Reservoir,Gustine,-121.06008,37.06206,272,East,Merced,SR-152,,R,,56.69,true,,,,1,Not Reported,Not Reported,,,
D10-05,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : Buchanan Hollow,Le Grand,-120.34325,37.19749,213,North,Merced,SR-99,,,,177.57,true,,,,1,Not Reported,Not Reported,,,
D10-06,1770621000,1770592200,2026/02/08-23:10 -0800,10,SR-99 : Westside,Atwater,-120.65341,37.3625,157,South,Merced,SR-99,,,,198.72,true,,,,1,Not Reported,Not Reported,,,
D10-07,1770830400,1770801600,2026/02/11-09:20 -0800,10,I-5 : Westley Rest Area,Westley,-121.32223,37.58253,314,North,Stanislaus,I-5,,,,444.48,true,,,,1,Not Reported,Not Reported,,,
D10-08,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-580 : West of SR-132,Tracy,-121.42149,37.6503,278,East,San Joaquin,I-580,,,,6.27,true,,,,1,Not Reported,Not Reported,,,
D10-09,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-580 : Hansen Road,Tracy,-121.51496,37.70719,255,Median,San Joaquin,I-580,,,,12.72,true,,,,1,Not Reported,Not Reported,,,
D10-10,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-219 : East of Pentecost Drive,Modesto,-121.00097,37.71134,104,West,Stanislaus,SR-219,,,,4.45,true,,,,1,Not Reported,Not Reported,,,
D10-11,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-219 : West of Morrow Road,Modesto,-121.03817,37.7113,91,East,Stanislaus,SR-219,,,,2.43,true,,,,1,Not Reported,Not Reported,,,
D10-12,1770831180,1770802380,2026/02/11-09:33 -0800,10,SR-99 : Milgeo,Ripon,-121.13275,37.74654,59,North,San Joaquin,SR-99,,,,237.53,true,,,,1,Not Reported,Not Reported,,,
